date,sales,visitors,conversion_rate,ad_spend
2024-01-01,1200,5000,0.024,500
2024-01-02,1150,4800,0.024,500
2024-01-03,1300,5200,0.025,500
2024-01-04,1250,5100,0.024,500
2024-01-05,1400,5500,0.025,550
2024-01-06,2100,8500,0.025,800
2024-01-07,2050,8300,0.025,800
2024-01-08,1220,5050,0.024,500
2024-01-09,1180,4900,0.024,500
2024-01-10,1210,5100,0.024,500
2024-01-11,1260,5200,0.024,500
2024-01-12,450,2100,0.021,500
2024-01-13,420,2000,0.021,500
2024-01-14,3500,12000,0.029,500
2024-01-15,1350,5400,0.025,500
2024-01-16,1280,5200,0.024,500
2024-01-17,1240,5100,0.024,500
2024-01-18,1310,5300,0.025,500
2024-01-19,1290,5250,0.024,500
2024-01-20,2200,8800,0.025,800
2024-01-21,2150,8600,0.025,800
2024-01-22,1230,5150,0.024,500
2024-01-23,1200,5000,0.024,500
2024-01-24,1270,5250,0.024,500
2024-01-25,1250,5150,0.024,500
2024-01-26,1320,5400,0.024,500
2024-01-27,2400,9500,0.025,800
2024-01-28,2350,9300,0.025,800
2024-01-29,1260,5200,0.024,500
2024-01-30,1220,5050,0.024,500
