date,open,high,low,close,volume
2024-06-03,100.20,101.10,99.80,100.85,1850000
2024-06-04,100.90,102.00,100.40,101.70,1760000
2024-06-05,101.80,102.40,101.20,101.35,1685000
2024-06-06,101.40,101.95,100.70,101.10,1710000
2024-06-07,101.15,102.30,100.90,102.05,1920000
2024-06-10,102.10,102.50,101.60,101.95,1600000
2024-06-11,102.00,103.10,101.90,102.85,2100000
2024-06-12,102.90,103.20,102.40,102.70,1980000
2024-06-13,102.75,103.00,102.20,102.35,1750000
2024-06-14,102.40,103.60,102.10,103.45,2400000
2024-06-17,103.50,103.90,102.80,103.05,1820000
2024-06-18,103.10,104.00,102.90,103.80,2050000
2024-06-19,103.85,104.20,103.10,103.25,1900000
2024-06-20,103.30,103.70,102.60,102.95,1720000
2024-06-21,103.00,103.20,102.20,102.35,1760000
2024-06-24,102.40,102.80,101.90,102.10,1650000
2024-06-25,102.10,102.30,101.20,101.35,1880000
2024-06-26,101.40,101.80,100.90,101.60,1700000
2024-06-27,101.55,101.90,100.70,100.95,2050000
2024-06-28,100.90,101.10,95.20,96.15,9800000
2024-07-01,96.30,97.60,95.80,97.20,5200000
2024-07-02,97.25,98.10,96.90,97.85,3100000
2024-07-03,97.90,98.40,97.10,97.30,2450000
2024-07-05,97.35,98.20,97.20,97.95,2600000
2024-07-08,98.00,99.10,97.90,98.75,3300000
2024-07-09,98.80,99.40,98.10,98.25,2500000
2024-07-10,98.30,99.00,98.00,98.90,2200000
2024-07-11,98.95,100.20,98.70,99.85,4100000
2024-07-12,99.90,100.50,99.40,100.10,2900000
